Time (usec),Events Raised,Messages Generated,Messages Delivered,Average Delivery Time (usec),Frames Transmitted,Frames Received,Bytes Received (Physical),Bytes Received (Application),Efficiency (AL/PL)
10000000,0,0,0,0,0,0,0,0,1
20000000,3,1,1,2509207,2,2,82,50,0.6097560975609756
30000000,4,2,1,2509207,3,2,82,50,0.6097560975609756
40000000,6,2,2,2509207,4,4,164,100,0.6097560975609756
50000000,9,3,3,2509207,6,6,246,150,0.6097560975609756
60000000,9,3,3,2509207,6,6,246,150,0.6097560975609756
70000000,12,4,4,2509207,8,8,328,200,0.6097560975609756
80000000,14,5,5,2509207,10,9,394,250,0.6345177664974619
90000000,15,5,5,2509207,10,10,410,250,0.6097560975609756
100000000,18,6,6,2509207,13,12,492,300,0.6097560975609756
