Time (usec),Events Raised,Messages Generated,Messages Delivered,Average Delivery Time (usec),Frames Transmitted,Frames Received,Bytes Received (Physical),Bytes Received (Application),Efficiency (AL/PL)
10000000,4,1,1,2509207,3,2,82,50,0.6097560975609756
20000000,9,2,2,2509207,6,6,246,100,0.4065040650406504
30000000,13,3,2,2509207,9,8,328,100,0.3048780487804878
40000000,18,4,4,2509207,12,12,492,200,0.4065040650406504
50000000,23,6,5,2509207,15,15,640,250,0.390625
60000000,25,6,5,2509207,16,16,706,250,0.35410764872521244
70000000,29,7,6,5018381,19,18,788,300,0.38071065989847713
80000000,35,9,8,4391087,23,22,952,400,0.42016806722689076
90000000,38,9,9,5018381,25,24,1084,450,0.4151291512915129
100000000,43,11,10,4767463,28,27,1182,500,0.4230118443316413
