Time (usec),Events Raised,Messages Generated,Messages Delivered,Average Delivery Time (usec),Frames Transmitted,Frames Received,Bytes Received (Physical),Bytes Received (Application),Efficiency (AL/PL)
10000000,0,0,0,0,0,0,0,0,1
20000000,3,1,1,2509207,2,2,82,50,0.6097560975609756
30000000,4,2,1,2509207,3,2,82,50,0.6097560975609756
40000000,6,2,2,2509207,4,4,164,100,0.6097560975609756
50000000,9,3,3,2509207,6,6,246,150,0.6097560975609756
60000000,11,4,4,2509207,8,7,312,200,0.6410256410256411
70000000,12,4,4,2509207,8,8,328,200,0.6097560975609756
80000000,15,5,5,2509207,10,10,410,250,0.6097560975609756
90000000,17,6,6,2509207,12,11,476,300,0.6302521008403361
100000000,20,6,6,2509207,14,13,558,300,0.5376344086021505
110000000,21,7,6,2509207,15,13,558,300,0.5376344086021505
120000000,23,7,7,2509207,16,15,640,350,0.546875
130000000,24,8,7,2509207,17,15,640,350,0.546875
140000000,27,8,8,3450147,19,17,722,400,0.554016620498615
150000000,28,9,8,3450147,20,17,722,400,0.554016620498615
160000000,30,9,9,3345598,21,19,804,450,0.5597014925373134
170000000,33,10,10,3261959,23,21,886,500,0.5643340857787811
180000000,35,11,11,3193527,25,22,952,550,0.5777310924369747
190000000,36,11,11,3193527,25,23,968,550,0.5681818181818182
200000000,39,12,12,3136500,27,25,1050,600,0.5714285714285714
210000000,42,13,13,3088247,29,27,1132,650,0.5742049469964664
220000000,43,14,13,3088247,30,27,1132,650,0.5742049469964664
230000000,45,14,14,3046887,31,29,1214,700,0.5766062602965404
240000000,48,15,15,3011041,33,31,1296,750,0.5787037037037037
250000000,49,16,15,3011041,34,31,1296,750,0.5787037037037037
260000000,51,16,16,2979677,35,33,1378,800,0.5805515239477503
270000000,54,17,17,2952002,37,35,1460,850,0.5821917808219178
280000000,55,18,17,2952002,38,35,1460,850,0.5821917808219178
290000000,57,18,18,2927402,39,37,1542,900,0.5836575875486382
300000000,60,19,19,2905392,41,39,1624,950,0.5849753694581281
310000000,60,19,19,2905392,41,39,1624,950,0.5849753694581281
320000000,63,20,20,2885583,43,41,1706,1000,0.5861664712778429
330000000,65,21,21,2867660,45,42,1772,1050,0.59255079006772
340000000,66,21,21,2867660,45,43,1788,1050,0.587248322147651
350000000,69,22,22,2851367,47,45,1870,1100,0.5882352941176471
360000000,70,23,22,2851367,48,45,1870,1100,0.5882352941176471
370000000,73,23,23,3163774,51,46,1936,1150,0.59400826446281
380000000,75,23,23,3163774,52,48,2018,1150,0.5698711595639246
390000000,78,24,24,3136500,54,50,2100,1200,0.5714285714285714
400000000,81,25,25,3111408,56,52,2182,1250,0.5728689275893676
410000000,82,26,25,3111408,57,52,2182,1250,0.5728689275893676
420000000,84,26,26,3088247,58,54,2264,1300,0.5742049469964664
430000000,87,27,27,3066801,60,56,2346,1350,0.5754475703324808
440000000,87,27,27,3066801,60,56,2346,1350,0.5754475703324808
450000000,90,28,28,3046887,62,58,2428,1400,0.5766062602965404
460000000,92,29,29,3028346,64,59,2494,1450,0.5813953488372093
470000000,94,30,29,3028346,65,60,2510,1450,0.5776892430278885
480000000,96,30,30,3261959,67,61,2576,1500,0.5822981366459627
490000000,97,30,30,3261959,67,62,2592,1500,0.5787037037037037
500000000,100,31,31,3237676,69,64,2674,1550,0.5796559461480928
510000000,101,32,31,3237676,70,64,2674,1550,0.5796559461480928
520000000,103,32,32,3450147,72,65,2740,1600,0.583941605839416
530000000,106,32,32,3450147,74,67,2822,1600,0.5669737774627923
540000000,108,33,33,3421633,76,68,2888,1650,0.5713296398891967
550000000,109,33,33,3421633,76,69,2904,1650,0.5681818181818182
560000000,112,34,34,3394797,78,71,2986,1700,0.5693235097119893
570000000,115,35,35,3369495,80,73,3068,1750,0.5704041720990873
580000000,117,36,36,3345598,82,74,3134,1800,0.574345883854499
590000000,118,36,36,3345598,82,75,3150,1800,0.5714285714285714
600000000,121,37,37,3322993,84,77,3232,1850,0.5724009900990099
610000000,123,38,38,3301577,86,78,3298,1900,0.5761067313523347
620000000,124,38,38,3301577,86,79,3314,1900,0.5733252866626434
630000000,127,39,39,3281260,88,81,3396,1950,0.5742049469964664
640000000,129,40,40,3261959,90,82,3462,2000,0.5777007510109763
650000000,131,41,40,3261959,91,83,3478,2000,0.5750431282346176
660000000,133,41,41,3427197,93,84,3544,2050,0.5784424379232506
670000000,134,41,41,3427197,93,85,3560,2050,0.5758426966292135
680000000,136,42,41,3427197,95,85,3560,2050,0.5758426966292135
690000000,138,42,42,3584567,96,87,3642,2100,0.5766062602965404
700000000,140,43,43,3559558,98,88,3708,2150,0.5798274002157497
710000000,143,43,43,3559558,100,90,3790,2150,0.5672823218997362
720000000,143,43,43,3559558,100,90,3790,2150,0.5672823218997362
730000000,146,44,44,3535687,102,92,3872,2200,0.5681818181818182
740000000,148,45,45,3512876,104,93,3938,2250,0.5713560182833926
750000000,149,45,45,3512876,104,94,3954,2250,0.5690440060698028
760000000,151,46,46,3491057,106,95,4020,2300,0.572139303482587
770000000,152,46,46,3491057,106,96,4036,2300,0.5698711595639246
780000000,155,47,47,3470167,108,98,4118,2350,0.5706653715395823
790000000,157,48,48,3450147,110,99,4184,2400,0.5736137667304015
800000000,158,48,48,3450147,110,100,4200,2400,0.5714285714285714
810000000,161,49,49,3430944,112,102,4282,2450,0.572162540868753
820000000,162,50,49,3430944,113,102,4282,2450,0.572162540868753
830000000,164,50,50,3563060,115,103,4348,2500,0.5749770009199632
840000000,167,50,50,3563060,117,105,4430,2500,0.5643340857787811
850000000,168,51,50,3563060,118,105,4430,2500,0.5643340857787811
860000000,170,51,51,3542396,119,107,4512,2550,0.5651595744680851
870000000,172,52,52,3522527,121,108,4578,2600,0.5679335954565312
880000000,173,52,52,3522527,121,109,4594,2600,0.5659555942533739
890000000,176,53,53,3503408,123,111,4676,2650,0.5667236954662105
900000000,178,54,54,3484996,125,112,4742,2700,0.5693800084352594
910000000,179,54,54,3484996,125,113,4758,2700,0.5674653215636822
920000000,182,55,55,3467255,127,115,4840,2750,0.5681818181818182
930000000,184,56,56,3450147,129,116,4906,2800,0.5707297187117815
940000000,185,56,56,3450147,129,117,4922,2800,0.5688744412840309
950000000,188,57,57,3433639,131,119,5004,2850,0.5695443645083933
960000000,190,58,58,3417701,133,120,5070,2900,0.571992110453649
970000000,192,58,58,3417701,135,121,5136,2900,0.5646417445482866
980000000,195,58,58,3417701,138,122,5202,2900,0.5574778931180315
990000000,198,58,58,3417701,141,124,5334,2900,0.5436820397450318
1000000000,199,58,58,3417701,141,125,5350,2900,0.5420560747663551
1010000000,202,59,59,3402302,143,127,5432,2950,0.5430780559646539
1020000000,204,60,60,3387417,145,128,5498,3000,0.5456529647144416
1030000000,207,60,60,3387417,147,130,5580,3000,0.5376344086021505
1040000000,208,61,60,3387417,148,130,5580,3000,0.5376344086021505
1050000000,210,61,61,3373021,149,132,5662,3050,0.5386789120452137
1060000000,213,62,62,3359088,151,134,5744,3100,0.5396935933147632
1070000000,213,62,62,3359088,151,134,5744,3100,0.5396935933147632
1080000000,216,63,63,3345598,154,135,5810,3150,0.5421686746987951
1090000000,218,63,63,3345598,156,136,5876,3150,0.5360789652825051
1100000000,220,64,63,3345598,157,137,5892,3150,0.5346232179226069
1110000000,222,64,64,3332529,158,139,5974,3200,0.5356545028456645
1120000000,225,65,65,3319863,160,141,6056,3250,0.53665785997358
1130000000,226,66,65,3319863,161,141,6056,3250,0.53665785997358
1140000000,228,66,66,3307580,162,143,6138,3300,0.5376344086021505
1150000000,231,67,67,3295664,164,145,6220,3350,0.5385852090032154
1160000000,232,68,67,3295664,165,145,6220,3350,0.5385852090032154
1170000000,235,68,68,3284098,168,147,6352,3400,0.535264483627204
1180000000,236,68,68,3284098,168,148,6368,3400,0.5339195979899497
1190000000,239,69,69,3272868,170,150,6450,3450,0.5348837209302325
1200000000,239,69,69,3272868,170,150,6450,3450,0.5348837209302325
1210000000,242,70,70,3261959,172,152,6532,3500,0.5358236374770361
1220000000,244,71,71,3251357,174,153,6598,3550,0.5380418308578357
1230000000,246,72,71,3251357,175,154,6614,3550,0.5367402479588751
1240000000,248,72,72,3241049,176,156,6696,3600,0.5376344086021505
1250000000,250,73,72,3241049,178,156,6696,3600,0.5376344086021505
1260000000,252,73,73,3334140,179,158,6778,3650,0.5385069341988787
1270000000,254,74,74,3322993,181,159,6844,3700,0.5406195207481005
1280000000,256,75,74,3322993,182,160,6860,3700,0.5393586005830904
1290000000,258,75,75,3312142,183,162,6942,3750,0.54019014693172
1300000000,260,76,75,3312142,185,162,6942,3750,0.54019014693172
1310000000,262,76,76,3400624,186,164,7024,3800,0.541002277904328
1320000000,265,77,77,3389047,188,166,7106,3850,0.541795665634675
1330000000,267,78,78,3377767,190,167,7172,3900,0.5437813720022309
1340000000,269,79,78,3377767,191,168,7188,3900,0.5425709515859767
1350000000,271,79,79,3366772,192,170,7270,3950,0.5433287482806052
1360000000,274,80,80,3356053,194,172,7352,4000,0.544069640914037
1370000000,275,81,80,3356053,195,172,7352,4000,0.544069640914037
1380000000,277,81,81,3345598,196,174,7434,4050,0.5447941888619855
1390000000,279,82,82,3335398,198,175,7500,4100,0.5466666666666666
1400000000,280,82,82,3335398,198,176,7516,4100,0.545502927088877
1410000000,283,83,83,3325444,200,178,7598,4150,0.5461963674651223
1420000000,286,84,84,3315727,202,180,7680,4200,0.546875
1430000000,287,85,84,3315727,203,180,7680,4200,0.546875
1440000000,289,85,85,3306238,205,181,7746,4250,0.5486702814355796
1450000000,292,85,85,3306238,207,183,7828,4250,0.5429228410832907
1460000000,292,85,85,3306238,207,183,7828,4250,0.5429228410832907
1470000000,294,86,85,3306238,209,183,7828,4250,0.5429228410832907
1480000000,296,86,86,3384500,210,185,7910,4300,0.5436156763590392
1490000000,298,87,86,3384500,212,185,7910,4300,0.5436156763590392
1500000000,301,87,87,3460962,215,187,8042,4350,0.5409102213379756
1510000000,302,87,87,3460962,215,188,8058,4350,0.5398361876396128
1520000000,305,88,88,3450147,217,190,8140,4400,0.5405405405405406
1530000000,306,89,88,3450147,218,190,8140,4400,0.5405405405405406
1540000000,309,89,89,3524153,220,192,8222,4450,0.541230844076867
1550000000,310,90,89,3524153,221,192,8222,4450,0.541230844076867
1560000000,312,90,90,3512876,222,194,8304,4500,0.541907514450867
1570000000,315,91,91,3501847,224,196,8386,4550,0.5425709515859767
1580000000,316,92,91,3501847,225,196,8386,4550,0.5425709515859767
1590000000,318,92,92,3491057,226,198,8468,4600,0.543221539914974
1600000000,321,93,93,3480500,228,200,8550,4650,0.543859649122807
1610000000,323,94,94,3470167,230,201,8616,4700,0.5454967502321263
1620000000,324,94,94,3470167,230,202,8632,4700,0.5444856348470807
1630000000,327,95,95,3460051,233,203,8698,4750,0.546102552310876
1640000000,329,95,95,3460051,234,205,8780,4750,0.541002277904328
1650000000,332,96,96,3450147,236,207,8862,4800,0.5416384563303994
1660000000,333,97,96,3450147,237,207,8862,4800,0.5416384563303994
1670000000,335,97,97,3440446,238,209,8944,4850,0.542262969588551
1680000000,337,98,98,3430944,240,210,9010,4900,0.5438401775804661
1690000000,338,98,98,3430944,240,211,9026,4900,0.5428761356082429
1700000000,340,99,98,3430944,242,211,9026,4900,0.5428761356082429
1710000000,342,99,99,3497669,243,213,9108,4950,0.5434782608695652
1720000000,345,100,100,3487784,245,215,9190,5000,0.544069640914037
1730000000,346,101,100,3487784,246,215,9190,5000,0.544069640914037
1740000000,348,101,101,3552625,248,216,9256,5050,0.5455920484010371
1750000000,349,101,101,3552625,248,217,9272,5050,0.5446505608283002
1760000000,352,102,102,3542396,250,219,9354,5100,0.5452212957023733
1770000000,353,103,102,3542396,251,219,9354,5100,0.5452212957023733
1780000000,355,103,103,3532365,252,221,9436,5150,0.5457821110640102
1790000000,357,104,104,3522527,254,222,9502,5200,0.5472532098505578
1800000000,358,104,104,3522527,254,223,9518,5200,0.5463332632906073
1810000000,361,105,105,3512876,256,225,9600,5250,0.546875
1820000000,363,106,106,3503408,258,226,9666,5300,0.548313676805297
1830000000,365,107,106,3503408,259,227,9682,5300,0.5474075604214005
1840000000,368,107,107,3494116,262,229,9814,5350,0.5451395964948034
1850000000,371,107,107,3494116,264,231,9896,5350,0.5406224737267583
1860000000,371,107,107,3494116,264,231,9896,5350,0.5406224737267583
1870000000,374,108,108,3484996,266,233,9978,5400,0.5411906193625977
1880000000,377,109,109,3476044,268,235,10060,5450,0.5417495029821073
1890000000,378,110,109,3476044,269,235,10060,5450,0.5417495029821073
1900000000,380,110,110,3467255,270,237,10142,5500,0.5422993492407809
1910000000,383,111,111,3458624,273,238,10208,5550,0.5436912225705329
1920000000,385,111,111,3458624,274,240,10290,5550,0.5393586005830904
1930000000,388,112,112,3450147,276,242,10372,5600,0.5399151561897416
1940000000,389,113,112,3450147,277,242,10372,5600,0.5399151561897416
1950000000,391,113,113,3441820,278,244,10454,5650,0.5404629806772527
1960000000,393,114,114,3433639,280,245,10520,5700,0.5418250950570342
1970000000,394,114,114,3433639,280,246,10536,5700,0.541002277904328
1980000000,397,115,115,3425600,282,248,10618,5750,0.5415332454322848
1990000000,399,116,116,3417701,284,249,10684,5800,0.5428678397603893
2000000000,400,116,116,3417701,284,250,10700,5800,0.5420560747663551
2010000000,403,117,117,3409936,286,252,10782,5850,0.5425709515859767
2020000000,406,118,118,3402302,288,254,10864,5900,0.5430780559646539
2030000000,407,119,118,3402302,289,254,10864,5900,0.5430780559646539
2040000000,409,119,119,3394797,290,256,10946,5950,0.5435775625799378
2050000000,410,120,119,3394797,291,256,10946,5950,0.5435775625799378
2060000000,413,120,120,3450147,293,258,11028,6000,0.544069640914037
2070000000,415,121,121,3442370,295,259,11094,6050,0.545339823327925
2080000000,416,121,121,3442370,295,260,11110,6050,0.5445544554455446
2090000000,419,122,122,3434722,298,261,11176,6100,0.5458124552612742
2100000000,421,122,122,3434722,299,263,11258,6100,0.5418369159708651
2110000000,423,123,123,3427197,301,264,11324,6150,0.5430943129636171
2120000000,424,123,123,3427197,301,265,11340,6150,0.5423280423280423
2130000000,427,124,124,3419794,303,267,11422,6200,0.5428121169672562
2140000000,428,125,124,3419794,304,267,11422,6200,0.5428121169672562
2150000000,431,126,125,3412509,306,269,11504,6250,0.5432892906815021
2160000000,433,126,126,3405340,307,271,11586,6300,0.5437597099948214
2170000000,436,127,127,3398284,309,273,11668,6350,0.5442235173123071
2180000000,436,127,127,3398284,309,273,11668,6350,0.5442235173123071
2190000000,439,128,128,3391338,311,275,11750,6400,0.5446808510638298
2200000000,440,129,128,3391338,312,275,11750,6400,0.5446808510638298
2210000000,443,129,129,3442853,314,277,11832,6450,0.545131845841785
2220000000,445,130,130,3435671,316,278,11898,6500,0.5463103042528156
2230000000,448,130,130,3435671,318,280,11980,6500,0.5425709515859767
2240000000,449,131,130,3435671,319,280,11980,6500,0.5425709515859767
2250000000,451,131,131,3486061,321,281,12046,6550,0.5437489623111407
2260000000,453,132,131,3486061,322,282,12062,6550,0.5430276902669541
2270000000,455,132,132,3478660,323,284,12144,6600,0.5434782608695652
2280000000,458,133,133,3471371,325,286,12226,6650,0.5439227875020448
2290000000,459,134,133,3471371,326,286,12226,6650,0.5439227875020448
2300000000,461,134,134,3464191,327,288,12308,6700,0.5443613909652258
2310000000,464,135,135,3457117,329,290,12390,6750,0.5447941888619855
2320000000,466,136,136,3450147,331,291,12456,6800,0.5459216441875402
2330000000,467,136,136,3450147,331,292,12472,6800,0.5452212957023733
2340000000,470,137,137,3443279,333,294,12554,6850,0.5456428230046201
2350000000,471,138,137,3443279,334,294,12554,6850,0.5456428230046201
2360000000,473,138,138,3436510,335,296,12636,6900,0.5460588793922128
2370000000,476,139,139,3429839,337,298,12718,6950,0.546469570687215
2380000000,477,140,139,3429839,338,298,12718,6950,0.546469570687215
2390000000,479,140,140,3477031,340,299,12784,7000,0.5475594493116396
2400000000,482,140,140,3477031,342,301,12866,7000,0.544069640914037
2410000000,483,141,140,3477031,343,301,12866,7000,0.544069640914037
2420000000,486,141,141,3470167,346,303,12998,7050,0.5423911370980151
2430000000,487,141,141,3470167,346,304,13014,7050,0.5417242969110189
2440000000,489,142,141,3470167,348,304,13014,7050,0.5417242969110189
2450000000,491,142,142,3516410,349,306,13096,7100,0.5421502748930971
2460000000,494,143,143,3509367,351,308,13178,7150,0.5425709515859767
2470000000,495,144,143,3509367,352,308,13178,7150,0.5425709515859767
2480000000,497,144,144,3554696,354,309,13244,7200,0.5436424041075204
2490000000,498,144,144,3554696,354,310,13260,7200,0.5429864253393665
2500000000,501,145,145,3547485,356,312,13342,7250,0.5433967920851447
2510000000,503,146,146,3540374,358,313,13408,7300,0.5444510739856802
2520000000,506,146,146,3540374,361,314,13474,7300,0.5417841769333531
2530000000,508,146,146,3540374,362,316,13556,7300,0.5385069341988787
2540000000,511,147,147,3533359,364,318,13638,7350,0.5389353277606688
2550000000,512,148,147,3533359,365,318,13638,7350,0.5389353277606688
2560000000,514,148,148,3526439,366,320,13720,7400,0.5393586005830904
2570000000,515,149,148,3526439,367,320,13720,7400,0.5393586005830904
2580000000,518,149,149,3570132,369,322,13802,7450,0.5397768439356615
2590000000,520,150,150,3563060,371,323,13868,7500,0.5408133833285261
2600000000,521,150,150,3563060,371,324,13884,7500,0.54019014693172
